,AIRCRAFT,ORIGIN,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
63,E145,BLR,27803710,27803775,27803728,463.8928171,0.0,1.0,1.0,0.0
64,E145,BLR,27802270,27802335,27802279,463.8928171,0.0,1.0,1.0,0.0
65,E145,BLR,27800830,27800895,27800850,463.8928171,0.0,1.0,1.0,0.0
66,E145,BLR,27799390,27799455,27799410,463.8928171,0.0,1.0,1.0,0.0
67,E145,BLR,27797950,27798015,27797957,463.8928171,0.0,1.0,1.0,0.0
68,E145,BLR,27796510,27796575,27796531,463.8928171,0.0,1.0,1.0,0.0
69,E145,BLR,27795070,27795135,27795092,463.8928171,0.0,1.0,1.0,0.0
70,E145,BLR,27793630,27793695,27793678,463.8928171,0.0,1.0,1.0,0.0
71,E145,BLR,27792190,27792255,27792200,463.8928171,0.0,1.0,1.0,0.0
72,E145,BLR,27790750,27790815,27790789,463.8928171,0.0,1.0,1.0,0.0
73,E145,BLR,27789310,27789375,27789322,463.8928171,0.0,1.0,1.0,0.0
74,E145,BLR,27787870,27787935,27787883,463.8928171,0.0,1.0,1.0,0.0
75,E145,BLR,27786430,27786495,27786441,463.8928171,0.0,1.0,1.0,0.0
76,E145,BLR,27784990,27785055,27785012,463.8928171,0.0,1.0,1.0,0.0
77,E145,BLR,27783550,27783615,27783754,463.8928171,0.0,1.0,1.0,0.0
78,E145,BLR,27782200,27782265,27782338,463.8928171,0.0,1.0,1.0,0.0
79,E145,BLR,27780760,27780825,27780772,463.8928171,0.0,1.0,1.0,0.0
80,E145,BLR,27773470,27773535,27773801,463.8928171,0.0,1.0,1.0,0.0
81,E145,BLR,27772120,27772185,27772096,463.8928171,0.0,1.0,1.0,0.0
82,E145,BLR,27770680,27770745,27770687,463.8928171,0.0,1.0,1.0,0.0
83,E145,BLR,27769150,27769215,27769164,463.8928171,0.0,1.0,1.0,0.0
84,E145,BLR,27767710,27767775,27767743,463.8928171,0.0,1.0,1.0,0.0
